idx,imu_Timestamp[sec],mag_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],moving, 
2636,6.672538000,6.659399000,-0.797643483,-0.073958926,9.790996552,-1.325172305,5.251720905,22.125394821,-0.750000000,-4.625000000,-4.375000000,-89.518371582,14.436514854,-0.678872645,1.000000000,
2638,6.677598000,6.659399000,-0.557996571,0.283203483,10.677559853,1.497696757,-5.088432789,19.225818634,-0.750000000,-4.625000000,-4.375000000,-89.516876221,14.536314011,-0.670029044,1.000000000,
2639,6.680128000,6.659399000,-0.562623382,0.419090927,10.708539009,4.584555149,0.800626874,21.881368637,-0.750000000,-4.625000000,-4.375000000,-89.504173279,14.591073990,-0.675521791,1.000000000,
2641,6.685188000,6.679639000,-0.590905070,0.059256576,10.351093292,1.952126741,-3.976895571,19.625942230,-0.687500000,-4.562500000,-4.375000000,-89.487846375,14.695039749,-0.675094485,1.000000000,
2643,6.690248000,6.679639000,-0.668125510,-0.469508767,9.359781265,-0.151454329,3.560414791,23.077093124,-0.687500000,-4.562500000,-4.375000000,-89.483581543,14.805512428,-0.687708974,1.000000000,
2645,6.695308000,6.679639000,-0.350266337,-0.657683313,9.193023682,-3.474478006,0.902852833,20.230573654,-0.687500000,-4.562500000,-4.375000000,-89.504760742,14.909147263,-0.701559961,1.000000000,
2647,6.700368000,6.679639000,0.087658085,-0.281254977,9.965103149,-2.463080168,3.114188194,19.452922821,-0.687500000,-4.562500000,-4.375000000,-89.521591187,15.008589745,-0.722118676,1.000000000,
2649,6.705428000,6.699879000,0.439385325,0.433758676,10.756147385,2.903280735,-1.768199921,21.586296082,-0.625000000,-4.562500000,-4.312500000,-89.520690918,15.111890793,-0.716787696,1.000000000,
2651,6.710488000,6.699879000,0.447138041,0.495692313,10.860998154,3.730125189,-2.069502831,20.684778214,-0.625000000,-4.562500000,-4.312500000,-89.502716064,15.218525887,-0.699394584,1.000000000,
2653,6.715548000,6.699879000,0.156597823,-0.009304337,9.864919662,2.586795330,-0.192244798,19.735593796,-0.625000000,-4.562500000,-4.312500000,-89.480346680,15.319198608,-0.686634839,1.000000000,
2655,6.720608000,6.699879000,-0.081333138,-0.530959606,8.847393990,-2.587541342,2.059421062,21.938282013,-0.625000000,-4.562500000,-4.312500000,-89.488830566,15.424660683,-0.683797538,1.000000000,
2657,6.725668000,6.720119000,0.077825516,-0.445173949,9.030881882,-4.580363750,2.989026070,19.968532562,-0.687500000,-4.625000000,-4.375000000,-89.511787415,15.528967857,-0.694474816,1.000000000,
2659,6.730728000,6.720119000,0.518914282,0.241135210,9.945940971,-0.189307600,2.484499454,19.729137421,-0.687500000,-4.625000000,-4.375000000,-89.519180298,15.626241684,-0.701313138,1.000000000,
2661,6.735788000,6.720119000,0.742482364,0.693901539,10.520234108,2.767542839,-3.553036928,20.341669083,-0.687500000,-4.625000000,-4.375000000,-89.509078979,15.727149010,-0.680909872,1.000000000,
2663,6.740848000,6.720119000,0.414143622,0.529527664,10.072236061,2.617384672,-1.872498035,20.038959503,-0.687500000,-4.625000000,-4.375000000,-89.485870361,15.830101967,-0.661883116,1.000000000,
2664,6.743378000,6.740359000,0.117139488,0.293615252,9.657601357,1.287429333,-2.785383701,18.813199997,-0.687500000,-4.625000000,-4.375000000,-89.480445862,15.877111435,-0.651003599,1.000000000,
2666,6.748438000,6.740359000,-0.635207236,-0.285519838,8.799684525,-1.354802489,3.668725252,19.603458405,-0.625000000,-4.562500000,-4.375000000,-89.478530884,15.973611832,-0.652287781,1.000000000,
2668,6.753498000,6.740359000,-0.956423819,-0.316624582,8.785386086,-4.125532627,0.585848272,20.913995743,-0.625000000,-4.562500000,-4.375000000,-89.495803833,16.077121735,-0.663200617,1.000000000,
2670,6.758558000,6.740359000,-0.711869836,0.169257045,9.691062927,-1.847527742,3.527724504,21.032600403,-0.625000000,-4.562500000,-4.375000000,-89.505722046,16.183141708,-0.684920371,1.000000000,
2672,6.763618000,6.760599000,-0.218594074,0.672050178,10.506036758,3.063031912,-2.461307049,19.849687576,-0.625000000,-4.562500000,-4.375000000,-89.492759705,16.283153534,-0.684253514,1.000000000,
2674,6.768678000,6.760599000,-0.141018584,0.455245376,10.222514153,1.983672500,-1.556422949,22.189538956,-0.687500000,-4.562500000,-4.375000000,-89.472518921,16.390327454,-0.683479965,1.000000000,
2675,6.771208000,6.760599000,-0.195726484,0.164554372,9.853155136,0.353460342,-4.022033691,21.062448502,-0.687500000,-4.562500000,-4.375000000,-89.468818665,16.442895889,-0.675665617,1.000000000,
2677,6.776268000,6.760599000,-0.518113077,-0.345337123,9.181008339,-0.816019893,3.853200912,19.632915497,-0.687500000,-4.562500000,-4.375000000,-89.466888428,16.540742874,-0.689122915,1.000000000,
2679,6.781328000,6.760599000,-0.786490023,-0.452734202,9.188157082,-5.058019161,0.501488209,20.382263184,-0.687500000,-4.562500000,-4.375000000,-89.487030029,16.641796112,-0.704807937,1.000000000,
2681,6.786388000,6.780839000,-0.683904409,0.069021650,9.995931625,-0.854088545,1.558023214,21.981220245,-0.625000000,-4.500000000,-4.375000000,-89.499237061,16.750305176,-0.719534934,1.000000000,
2683,6.791448000,6.780839000,-0.247685626,0.497828722,10.896691322,2.778198242,0.726413786,20.729557037,-0.625000000,-4.500000000,-4.375000000,-89.490936279,16.854974747,-0.730222464,1.000000000,
2685,6.796508000,6.780839000,0.108034641,0.302617162,10.644047737,3.348190784,-2.387255192,21.366746902,-0.625000000,-4.500000000,-4.375000000,-89.468482971,16.962146759,-0.728959680,1.000000000,
2687,6.801568000,6.780839000,0.212403074,-0.252249330,9.550267220,0.909759104,0.402883351,22.163522720,-0.625000000,-4.500000000,-4.375000000,-89.458106995,17.072158813,-0.732056499,1.000000000,
2689,6.806628000,6.801079000,0.255477279,-0.654989600,9.085740089,-2.922008276,1.292551637,18.745157242,-0.625000000,-4.562500000,-4.375000000,-89.474136353,17.169139862,-0.735572696,1.000000000,
